,SalesID,Predcition_of_salePrerice
0,1227829,22375.926166852147
1,1227844,17971.010445090928
2,1227847,53593.2462165028
3,1227848,64664.23522560312
4,1227863,55880.945432405584
5,1227870,27082.565807601415
6,1227871,26064.24066098665
7,1227879,12910.616430568758
8,1227880,16011.424074792962
9,1227881,36493.52268857902
10,1227882,52916.76848205963
11,1227883,51296.681235538636
12,1227885,41776.62356560064
13,1227886,46894.5511462222
14,1227887,25049.77773960748
15,1227888,24832.43705333297
16,1227905,31433.024340257565
17,1227910,46585.43496067121
18,1227911,35857.856867397306
19,1227912,43250.73306309705
20,1227913,21942.59337285092
21,1227914,32260.860276765005
22,1227917,19760.596027032378
23,1227918,25534.654721536204
24,1227920,19542.359812868373
25,1227924,29827.76519337832
26,1227925,32163.44316109531
27,1227930,23080.598925068738
28,1227933,17305.353723289096
29,1227942,16879.941785005933
30,1227949,31160.49476629537
31,1227972,17827.79040503378
32,1227976,35399.91673226481
33,1227977,12323.022459077947
34,1227979,47714.354612944284
35,1227980,14117.359897072538
36,1227988,23450.760653807025
37,1227990,17662.3335941433
38,1227991,22488.46594330919
39,1227992,25278.069847079918
40,1227994,32313.409544182825
41,1227997,22557.861502519714
42,1228007,44228.98455812976
43,1228012,55787.398564251795
44,1228019,64047.81410722489
45,1228031,25194.070451749627
46,1228040,52615.42880728233
47,1228042,28156.076007322583
48,1228046,12584.629281965808
49,1228049,25058.09469273645
50,1228050,27091.73834810807
51,1228056,19339.41216783116
52,1228061,27326.274390843046
53,1228065,8059.089443665602
54,1228069,8302.5061895659
55,1228071,52129.727509306314
56,1228072,51200.53721505894
57,1228075,31424.314443430874
58,1228076,33558.38888735319
59,1228089,35568.69933805016
60,1228104,18106.570458748767
61,1228105,45809.39856841021
62,1228107,35117.75317331878
63,1228113,46275.90385610767
64,1228117,37675.99544401853
65,1228119,42988.76643824013
66,1228122,41858.95005647947
67,1228123,60618.14695366555
68,1228124,10632.698604931977
69,1228129,31149.548048091197
70,1228130,46501.58360295525
71,1228131,46952.33849973556
72,1228134,37278.71233368669
73,1228135,26137.49102228783
74,1228136,33237.997167534
75,1228142,17275.07266308253
76,1228145,40184.60949745811
77,1228149,27133.972273197818
78,1228150,28962.036902860003
79,1228152,39921.58548048099
80,1228153,25924.213706212307
81,1228155,9829.979840682634
82,1228156,44463.32578147711
83,1228157,49721.96938813203
84,1228158,41054.24157874719
85,1228160,24892.15291524739
86,1228161,28059.181700244197
87,1228168,18215.519810601978
88,1228179,31213.936678156628
89,1228182,31586.614151181933
90,1228183,19701.901400902574
91,1228188,41061.07363459638
92,1228192,30520.582290628092
93,1228195,22985.777565560944
94,1228197,54238.92234730354
95,1228198,24635.966075537377
96,1228200,13298.585673035332
97,1228203,19593.67633143538
98,1228214,49608.61170993916
99,1228217,29862.272342639295
100,1228219,42014.333673131565
101,1228222,11606.169361134032
102,1228225,13235.375243114375
103,1228228,13448.46583566157
104,1228229,15389.124944725467
105,1228231,14498.12153630468
106,1228236,14006.269433213418
107,1228237,11558.36621699762
108,1228238,23432.602660495064
109,1228244,12436.880571533158
110,1228245,26388.78567660335
111,1228247,20980.9229008403
112,1228248,15309.715922399968
113,1228253,17472.534882307882
114,1228254,13219.533634832449
115,1228256,31296.067103172663
116,1228265,23758.169346107126
117,1228270,27298.863757667987
118,1228277,28437.551762070914
119,1228287,74476.78047780493
120,1228288,45490.97713185078
121,1228289,21941.268171788073
122,1228290,18355.546361699893
123,1228291,23648.563445726053
124,1228292,35251.706848951704
125,1228293,37093.35720737664
126,1228305,51725.07622204507
127,1228314,29379.753247365374
128,1228315,63041.858646867855
129,1228320,27968.12348803157
130,1228326,29746.519564993825
131,1228328,14056.936776029266
132,1228329,12313.864238896711
133,1228330,23260.482864364403
134,1228332,47555.48174540308
135,1228333,23333.68695928993
136,1228345,25108.90488582208
137,1228351,24173.65029497721
138,1228352,25196.6011860785
139,1228353,13150.725373137282
140,1228354,33918.98221650425
141,1228356,38613.976016941866
142,1228357,13389.651223806653
143,1228359,32748.38561731414
144,1228360,39812.165566255644
145,1228361,24619.59893226749
146,1228362,24244.614159590477
147,1228364,28319.287039033206
148,1228365,36273.22278149884
149,1228367,28438.04600576092
150,1228368,26154.459280252842
151,1228369,8723.584651231444
152,1228371,30349.99850446602
153,1228374,24712.718534093186
154,1228375,9322.003605900903
155,1228376,32584.05913963516
156,1228380,23506.883272520612
157,1228381,20267.42211350633
158,1228384,14359.561131548975
159,1228385,14025.687400199915
160,1228386,13165.094852881972
161,1228387,13194.34526484209
162,1228389,12882.446328161077
